"","tipo","Barrio","cant_hab","cant_bath","superficie","precio"
"35833","Departamento","Boca",2,1,50,105000
"35834","Departamento","Boedo",2,1,96,104900
"35835","Departamento","Boedo",2,1,43,89000
"35836","Departamento","Boedo",2,1,38,75000
"35837","Departamento","Boedo",2,1,50,150000
"35838","Departamento","Abasto",1,1,30,89000
"35839","Departamento","Flores",2,1,44,85000
"35840","Departamento","Retiro",2,1,31,108000
"35841","Departamento","Almagro",2,1,42,98000
"35842","Departamento","Almagro",2,1,48,95000
"35843","Departamento","Almagro",2,1,45,109000
"35844","Departamento","Almagro",2,1,56,95000
"35845","Departamento","Almagro",2,1,53,99000
"35846","Departamento","Almagro",2,1,55,215000
"35847","Departamento","Coghlan",2,1,92,198000
"35848","Departamento","Coghlan",2,1,47,85000
"35849","Departamento","Palermo",2,1,60,225000
"35850","Departamento","Palermo",1,1,40,138000
"35851","Departamento","Palermo",2,2,86,330000
"35852","Departamento","Palermo",2,1,39,99000
"35853","Departamento","Palermo",2,1,39,95000
"35854","Departamento","Palermo",2,2,70,269000
"35855","Departamento","Palermo",2,1,48,124000
"35856","Departamento","Palermo",2,2,92,219000
"35857","Departamento","Palermo",2,1,92,174000
"35858","Departamento","Belgrano",2,2,106,161362
"35859","Departamento","Belgrano",2,2,56,178800
"35860","Departamento","Belgrano",1,1,32,98000
"35861","Departamento","Belgrano",2,1,51,165000
"35862","Departamento","Belgrano",2,2,54,181700
"35863","Departamento","Belgrano",2,2,55,225000
"35864","Departamento","Floresta",2,2,56,115000
"35865","Departamento","Recoleta",1,1,49,133000
"35866","Departamento","Recoleta",1,1,86,232200
"35867","Departamento","Recoleta",1,1,48,129900
"35868","Departamento","Recoleta",1,1,46,124000
"35869","Departamento","Recoleta",1,1,46,125500
"35870","Departamento","Recoleta",2,1,47,134999
"35871","Departamento","Recoleta",1,1,49,133000
"35872","Departamento","Recoleta",2,2,54,154990
"35873","Departamento","Recoleta",1,1,46,125500
"35874","Departamento","Recoleta",2,1,34,97500
"35875","Departamento","Saavedra",2,1,45,95000
"35876","Departamento","Balvanera",1,1,39,78000
"35877","Departamento","Balvanera",2,1,33,80000
"35878","Departamento","Balvanera",2,1,49,118000
"35879","Departamento","Balvanera",2,1,39,90000
"35880","Departamento","Caballito",2,1,35,110000
"35881","Departamento","Caballito",2,1,51,220000
"35882","Departamento","Caballito",1,1,42,115000
"35883","Departamento","Chacarita",1,1,41,105000
"35884","Departamento","Monserrat",2,1,60,95000
"35885","Departamento","San Telmo",2,2,61,155000
"35886","Departamento","Versalles",2,1,45,120000
"35887","Departamento","Colegiales",2,2,55,195000
"35888","Departamento","Colegiales",2,1,33,84900
"35889","Departamento","Tribunales",2,1,61,132000
"35890","Departamento","Villa Luro",2,1,68,130000
"35891","Departamento","Barrio Norte",2,1,44,124000
"35892","Departamento","Barrio Norte",1,1,46,125500
"35893","Departamento","Barrio Norte",1,1,49,133000
"35894","Departamento","Barrio Norte",1,1,48,129900
"35895","Departamento","Barrio Norte",2,1,56,152000
"35896","Departamento","Barrio Norte",1,1,49,133000
"35897","Departamento","Barrio Norte",1,1,86,232200
"35898","Departamento","Barrio Norte",1,1,40,133900
"35899","Departamento","Barrio Norte",1,1,46,124000
"35900","Departamento","Barrio Norte",2,1,53,182000
"35901","Departamento","Barrio Norte",1,1,46,125500
"35902","Departamento","Las Cañitas",2,1,55,178000
"35903","Departamento","Villa Crespo",1,1,41,105000
"35904","Departamento","Villa Crespo",2,1,47,70000
"35905","Departamento","Villa Crespo",2,1,42,115000
"35906","Departamento","Villa Urquiza",2,1,51,154500
"35907","Departamento","Villa Urquiza",2,1,75,158000
"35908","Departamento","Villa Urquiza",2,1,63,143000
"35909","Departamento","Villa Urquiza",2,1,55,139000
"35910","Departamento","Villa Urquiza",2,1,50,151500
"35911","Departamento","Parque Patricios",2,1,30,100000
"35912","Departamento","Villa del Parque",1,1,31,79990
"35913","Departamento","Villa del Parque",1,1,34,82000
"35914","Departamento","Centro / Microcentro",2,1,61,132000
"35915","PH","Palermo",3,1,50,154000
"35916","PH","Recoleta",3,1,69,220000
"35917","PH","Balvanera",3,1,48,136000
"35918","PH","Caballito",3,2,130,235000
"35919","PH","Caballito",2,1,40,122000
"35920","PH","Villa Crespo",3,1,79,199500
"35921","PH","Constitución",3,1,177,199000
"35922","PH","Villa Pueyrredón",3,1,103,195000
"35923","Departamento","Once",3,1,45,90000
"35924","Departamento","Boedo",3,1,65,115000
"35925","Departamento","Boedo",3,1,90,165000
"35926","Departamento","Flores",3,1,61,180000
"35927","Departamento","Nuñez",3,1,57,125000
"35928","Departamento","Almagro",3,1,56,129000
"35929","Departamento","Almagro",3,1,64,140000
"35930","Departamento","Almagro",4,2,68,115000
"35931","Departamento","Almagro",3,1,45,109000
"35932","Departamento","Almagro",3,1,110,165000
"35933","Departamento","Coghlan",3,2,92,355000
"35934","Departamento","Palermo",3,1,47,190000
"35935","Departamento","Palermo",3,1,72,232000
"35936","Departamento","Palermo",3,1,86,235000
"35937","Departamento","Palermo",3,1,58,150000
"35938","Departamento","Palermo",3,1,58,158000
"35939","Departamento","Palermo",3,2,78,520000
"35940","Departamento","Palermo",3,2,82,345000
"35941","Departamento","Palermo",3,3,91,689000
"35942","Departamento","Palermo",3,2,180,580000
"35943","Departamento","Palermo",3,2,65,185000
"35944","Departamento","Barracas",3,1,65,155000
"35945","Departamento","Belgrano",3,1,53,148000
"35946","Departamento","Belgrano",3,2,69,245000
"35947","Departamento","Belgrano",3,1,78,248000
"35948","Departamento","Belgrano",3,2,78,253200
"35949","Departamento","Belgrano",3,1,66,210000
"35950","Departamento","Belgrano",3,3,82,202000
"35951","Departamento","Floresta",3,1,63,139900
"35952","Departamento","Recoleta",3,2,87,249000
"35953","Departamento","Recoleta",3,2,93,269000
"35954","Departamento","Recoleta",3,1,78,180000
"35955","Departamento","Recoleta",3,3,115,350000
"35956","Departamento","Recoleta",3,1,69,220000
"35957","Departamento","Recoleta",3,2,102,289000
"35958","Departamento","Recoleta",3,2,87,310000
"35959","Departamento","Saavedra",3,2,91,230000
"35960","Departamento","Balvanera",3,1,48,85000
"35961","Departamento","Balvanera",3,1,47,85000
"35962","Departamento","Balvanera",3,1,74,95000
"35963","Departamento","Balvanera",3,2,70,259000
"35964","Departamento","Caballito",3,2,94,220000
"35965","Departamento","Caballito",3,1,65,162000
"35966","Departamento","Chacarita",3,1,78,145000
"35967","Departamento","Monserrat",3,1,80,175000
"35968","Departamento","Monserrat",3,1,80,175000
"35969","Departamento","Barrio Norte",3,1,83,240000
"35970","Departamento","Barrio Norte",4,1,69,220000
"35971","Departamento","Barrio Norte",3,2,70,259000
"35972","Departamento","San Nicolás",3,1,78,180000
"35973","Departamento","Villa Crespo",3,2,72,170000
"35974","Departamento","Villa Crespo",3,1,46,120000
"35975","Departamento","Villa Crespo",3,2,77,235500
"35976","Departamento","San Cristobal",3,2,72,139900
